Severity,Process,IP:Port,Score,Timestamp,Reason
CRITICAL,System Idle Process,18.235.15.99:80,87.0,2026-04-22 09:28:12,Unknown process not in whitelist; Frequent connections: 25 in 60 seconds; High connection frequency baseline: 25; Beaconing pattern: 10 hits to 18.235.15.99:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 11 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,80.0,2026-04-22 09:28:11,Unknown process not in whitelist; Frequent connections: 22 in 60 seconds; High connection frequency baseline: 22; Repeated destination: 7 hits to 18.235.15.99:80; Connection burst: 13 connections in 10 seconds; Multi-destination activity: 11 unique endpoints
CRITICAL,System Idle Process,18.235.15.99:80,80.0,2026-04-22 09:28:11,Unknown process not in whitelist; Frequent connections: 23 in 60 seconds; High connection frequency baseline: 23; Repeated destination: 8 hits to 18.235.15.99:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 11 unique endpoints
HIGH,python.exe,98.84.87.4:80,62.0,2026-04-22 09:29:31,Frequent connections: 75 in 60 seconds; High connection frequency baseline: 115; Beaconing pattern: 19 hits to 98.84.87.4:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
HIGH,python.exe,93.184.216.34:8080,72.0,2026-04-22 09:29:30,Frequent connections: 77 in 60 seconds; Unusual port: 8080; High connection frequency baseline: 114; Beaconing pattern: 10 hits to 93.184.216.34:8080; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
HIGH,python.exe,98.84.87.4:80,62.0,2026-04-22 09:29:28,Frequent connections: 78 in 60 seconds; High connection frequency baseline: 112; Beaconing pattern: 18 hits to 98.84.87.4:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
HIGH,python.exe,98.84.87.4:80,62.0,2026-04-22 09:29:26,Frequent connections: 81 in 60 seconds; High connection frequency baseline: 110; Beaconing pattern: 16 hits to 98.84.87.4:80; Connection burst: 17 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
HIGH,python.exe,98.84.87.4:80,62.0,2026-04-22 09:29:26,Frequent connections: 82 in 60 seconds; High connection frequency baseline: 111; Beaconing pattern: 17 hits to 98.84.87.4:80; Connection burst: 18 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
HIGH,python.exe,98.84.87.4:80,62.0,2026-04-22 09:29:25,Frequent connections: 82 in 60 seconds; High connection frequency baseline: 109; Beaconing pattern: 15 hits to 98.84.87.4:80; Connection burst: 17 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
HIGH,python.exe,98.84.87.4:80,62.0,2026-04-22 09:29:24,Frequent connections: 81 in 60 seconds; High connection frequency baseline: 106; Beaconing pattern: 13 hits to 98.84.87.4:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
